n_pred,n_std,min_cell,alpha,nested_rw
4,3,400,1.0,82.82129773979109
4,3,400,3.0,82.82168488158902
4,3,400,10.0,82.82440555400801
5,2,600,3.0,82.82778081992035
6,2,600,1.0,82.8297870878031
6,2,600,0.5,82.82981732211117
6,2,600,3.0,82.83048497111649
5,2,600,10.0,82.83065158985299
5,2,600,1.0,82.83211155606888
5,2,600,0.5,82.83223541622382
6,2,600,10.0,82.83409260615328
8,4,250,10.0,82.84054645666498
8,4,250,1.0,82.84624079905502
8,4,250,0.5,82.84634350714344
8,4,250,3.0,82.85017670522654
4,3,150,0.5,82.88744123181682
4,3,250,0.5,82.88744123181682
4,3,150,3.0,82.88807780779467
4,3,250,3.0,82.88807780779467
4,3,150,1.0,82.8882285195012
4,3,250,1.0,82.8882285195012
4,3,250,10.0,82.89225873168631
4,3,150,10.0,82.89225873168631
4,2,250,3.0,82.91813406586346
4,2,400,3.0,82.91813406586346
4,2,600,3.0,82.91813406586346
4,2,150,3.0,82.91813406586346
4,2,250,10.0,82.92020426700253
4,2,600,10.0,82.92020426700253
4,2,150,10.0,82.92020426700253
4,2,400,10.0,82.92020426700253
4,2,250,1.0,82.92047635036664
4,2,600,1.0,82.92047635036664
4,2,150,1.0,82.92047635036664
4,2,400,1.0,82.92047635036664
4,2,400,0.5,82.92048293365978
4,2,600,0.5,82.92048293365978
4,2,250,0.5,82.92048293365978
4,2,150,0.5,82.92048293365978
6,3,400,10.0,82.9292964731978
6,3,400,1.0,82.93886573729763
6,3,400,0.5,82.93920583440351
6,3,400,3.0,82.93932703112364
5,2,250,3.0,82.95380780997836
5,2,150,3.0,82.95380780997836
5,2,400,3.0,82.95380780997836
5,2,250,10.0,82.95469972165503
5,2,150,10.0,82.95469972165503
5,2,400,10.0,82.95469972165503
5,2,250,0.5,82.95921369643102
5,2,150,0.5,82.95921369643102
5,2,400,0.5,82.95921369643102
5,2,250,1.0,82.95927901082334
5,2,150,1.0,82.95927901082334
5,2,400,1.0,82.95927901082334
6,2,400,0.5,82.9729846797699
6,2,400,1.0,82.97312295582753
6,2,400,3.0,82.97381689875043
8,2,400,3.0,82.97433511969571
8,2,400,10.0,82.97511992483102
6,2,400,10.0,82.97663961347887
8,2,400,0.5,82.97758708401551
8,2,400,1.0,82.97783908695581
8,2,250,3.0,82.97900707942892
8,2,250,10.0,82.97978702835755
8,2,250,0.5,82.98232961469718
8,2,250,1.0,82.98260229405112
3,4,150,3.0,83.03259503891056
3,4,250,3.0,83.03259503891056
3,4,400,3.0,83.03259503891056
3,4,150,10.0,83.03307018935604
3,4,400,10.0,83.03307018935604
3,4,250,10.0,83.03307018935604
3,4,400,0.5,83.03694371481659
3,4,150,0.5,83.03694371481659
3,4,250,0.5,83.03694371481659
3,4,400,1.0,83.03784595301578
3,4,250,1.0,83.03784595301578
3,4,150,1.0,83.03784595301578
6,2,250,10.0,83.04271110975185
6,2,150,10.0,83.04271110975185
6,2,250,0.5,83.04278076630568
6,2,150,0.5,83.04278076630568
6,2,250,1.0,83.04292910887011
6,2,150,1.0,83.04292910887011
6,2,150,3.0,83.0436628942637
6,2,250,3.0,83.0436628942637
5,3,400,10.0,83.06876208558973
8,2,150,3.0,83.06910280619805
8,2,150,10.0,83.06912581865227
5,3,400,3.0,83.07116601131942
